Service_Request_Type,Police_Precinct,Method_Received,Status,Year,Month,Request_Count
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,1,1496
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,10,1485
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,3,1452
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,9,1445
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,10,1422
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,2,1415
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2022,7,1403
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,3,1398
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2025,2,1366
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2025,3,1366
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2025,3,1352
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,5,1345
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,6,1342
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,4,1334
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,5,1323
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,4,1309
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,3,1309
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,8,1308
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2022,10,1305
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,9,1282
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,11,1249
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,5,1235
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,10,1219
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,7,1217
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,4,1206
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2025,2,1183
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,2,1147
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2025,1,1132
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,2,1110
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,12,1080
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,12,1077
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,9,1070
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,9,1067
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,1,1066
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,8,1066
Pothole,NORTH,Find It Fix It Apps,Reported,2022,1,1054
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,11,1029
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2025,2,1018
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,4,1014
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,10,995
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2025,3,980
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,9,973
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,11,967
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,2,955
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,10,949
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2025,1,940
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,1,939
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,8,933
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,10,932
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,3,932
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,1,930
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,6,926
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,11,913
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,8,907
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,11,902
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2025,4,900
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2025,1,883
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2025,3,881
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,7,878
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,3,877
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,10,876
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,6,875
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,5,875
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,7,867
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,8,856
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,12,853
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,9,844
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,8,839
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,10,837
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,5,837
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,7,836
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,9,832
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,9,827
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,7,826
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2025,1,825
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,7,810
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,6,807
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2025,4,807
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,10,801
Pothole,EAST,Find It Fix It Apps,Reported,2022,1,799
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,10,795
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,7,792
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,9,779
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,5,778
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,7,777
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,3,776
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,9,776
Graffiti,WEST,Find It Fix It Apps,Closed,2024,9,764
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,11,763
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,12,762
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2025,3,760
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,10,756
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,6,756
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,10,753
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2025,1,752
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,3,752
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,8,751
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,8,745
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2025,4,744
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,1,739
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,7,734
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2021,11,734
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,8,727
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,3,725
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,5,720
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,4,718
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,8,717
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,12,716
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,2,716
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2022,12,714
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,5,714
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,8,711
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2023,9,710
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,4,709
Graffiti,WEST,Find It Fix It Apps,Closed,2024,7,705
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2025,2,705
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,3,701
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,6,693
Parking Enforcement,NORTH,Find It Fix It Apps,Reported,2023,5,693
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,5,691
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,11,683
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,1,682
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,10,682
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,4,682
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,4,681
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,7,680
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2022,8,680
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,7,678
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2022,6,678
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2022,8,677
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,4,677
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2023,3,673
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,9,673
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2025,2,672
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,6,669
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,10,668
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2025,3,666
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,8,665
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,3,664
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,9,664
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2022,11,662
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,1,661
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,8,660
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,8,658
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2025,2,656
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,9,656
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,4,655
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2022,9,654
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,6,653
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,12,647
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,7,646
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2025,3,641
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2025,2,639
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2021,10,634
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,9,634
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,7,633
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,3,626
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,7,624
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,5,620
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2022,9,620
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2022,7,619
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,7,617
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,7,617
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2022,10,617
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,8,616
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2024,10,614
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,10,613
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2024,9,612
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2021,12,612
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2022,10,610
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2022,5,610
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,1,606
Parking Enforcement,NORTH,Find It Fix It Apps,Reported,2023,6,605
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,1,605
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,5,604
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2023,10,603
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2022,2,602
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,9,601
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,6,596
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2022,6,596
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2024,7,596
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,12,592
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2022,7,591
Graffiti,WEST,Find It Fix It Apps,Closed,2024,8,591
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,6,591
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,5,590
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,9,588
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2024,4,585
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,2,584
Parking Enforcement,WEST,Find It Fix It Apps,Closed,2022,10,584
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,2,583
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,3,582
Parking Enforcement,WEST,Find It Fix It Apps,Closed,2022,8,581
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,5,580
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,9,577
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,10,576
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,10,575
Unauthorized Encampment,EAST,Find It Fix It Apps,Open,2025,4,569
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2025,1,566
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,6,565
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,11,558
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,6,557
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2022,2,555
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2023,5,555
Graffiti,WEST,Find It Fix It Apps,Closed,2025,3,551
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,1,551
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Closed,2021,10,550
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2022,7,550
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2022,6,547
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2025,1,546
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2022,9,546
Parks and Recreation Maintenance,NORTH,Find It Fix It Apps,Closed,2024,7,545
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,8,543
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,2,543
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,5,542
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2024,8,542
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2025,1,542
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2023,11,541
Pothole,SOUTHWEST,Find It Fix It Apps,Reported,2022,1,540
Graffiti,WEST,Find It Fix It Apps,Closed,2025,1,540
Graffiti,SOUTH,Find It Fix It Apps,Reported,2021,3,539
Graffiti,NORTH,Find It Fix It Apps,Reported,2021,1,538
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,6,535
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,12,534
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,5,533
Unauthorized Encampment,SOUTH,Find It Fix It Apps,Closed,2025,3,531
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2024,2,529
Unauthorized Encampment,SOUTH,Find It Fix It Apps,Closed,2024,8,527
Graffiti,NORTH,Find It Fix It Apps,Reported,2023,7,527
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,12,526
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,12,524
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2025,3,524
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2022,5,524
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2024,6,523
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,10,522
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,1,521
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2021,12,521
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2022,10,520
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,1,520
Abandoned Vehicle/72hr Parking Ordinance,EAST,Find It Fix It Apps,Closed,2024,10,518
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2025,3,518
Pothole,SOUTH,Find It Fix It Apps,Reported,2022,1,518
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2023,6,518
Pothole,NORTH,Find It Fix It Apps,Reported,2023,1,517
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2021,9,516
Abandoned Vehicle/72hr Parking Ordinance,EAST,Find It Fix It Apps,Closed,2022,8,513
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,3,513
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2022,8,511
Abandoned Vehicle/72hr Parking Ordinance,EAST,Find It Fix It Apps,Closed,2023,8,510
Overgrown Vegetation,NORTH,Find It Fix It Apps,Closed,2024,6,509
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,3,508
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Closed,2022,9,507
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Closed,2021,8,505
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2023,4,505
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2022,5,505
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2025,4,504
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,12,504
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,1,503
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2025,2,503
Graffiti,WEST,Find It Fix It Apps,Closed,2024,12,499
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2022,10,499
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,6,499
Parking Enforcement,WEST,Find It Fix It Apps,Closed,2022,9,499
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2023,8,498
Graffiti,WEST,Find It Fix It Apps,Closed,2025,2,498
Parking Enforcement,WEST,Find It Fix It Apps,Closed,2024,7,498
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Open,2025,4,498
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2024,11,496
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2022,6,496
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2024,10,496
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Closed,2022,8,494
Unauthorized Encampment,SOUTHWEST,Find It Fix It Apps,Closed,2022,10,493
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Closed,2024,9,493
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,3,493
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2021,11,492
Parking Enforcement,WEST,Find It Fix It Apps,Closed,2024,9,490
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2022,9,489
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2024,4,488
Parking Enforcement,NORTH,Find It Fix It Apps,Closed,2022,3,488
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2025,4,488
Abandoned Vehicle/72hr Parking Ordinance,EAST,Find It Fix It Apps,Closed,2024,5,487
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,4,486
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Find It Fix It Apps,Closed,2024,2,486
Unauthorized Encampment,NORTH,Find It Fix It Apps,Open,2025,4,485
Pothole,SOUTH,Find It Fix It Apps,Reported,2022,3,485
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Closed,2025,1,484
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2023,8,484
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Closed,2021,12,484
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2024,11,483
Parking Enforcement,EAST,Find It Fix It Apps,Closed,2025,4,483
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2023,6,483
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,5,483
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Find It Fix It Apps,Closed,2022,11,482
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2022,7,481
Illegal Dumping / Needles,NORTH,Find It Fix It Apps,Closed,2023,4,481
Unauthorized Encampment,WEST,Find It Fix It Apps,Closed,2023,4,479
Graffiti,WEST,Find It Fix It Apps,Reported,2023,8,479
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2023,6,479
Abandoned Vehicle/72hr Parking Ordinance,EAST,Find It Fix It Apps,Closed,2022,9,478
Abandoned Vehicle/72hr Parking Ordinance,EAST,Find It Fix It Apps,Closed,2024,3,478
Abandoned Vehicle/72hr Parking Ordinance,WEST,Find It Fix It Apps,Closed,2022,8,477
Unauthorized Encampment,EAST,Find It Fix It Apps,Closed,2024,11,476
